"","AB62","AC43cAns3Q2","AC43c.Ans5Q1","AD24a.Ans1Q1","DA44A1","FA101cAR","FB56.6cQ1","FB72A3","FD39.2cQ1","FD393c","GP91c"
"G00490",2566,2131,3299,1097,5175,6536,1500,815,3193,2787,5270
"G00491",3,3,0,0,45,33,0,0,5,12,8
"G00492",966,2119,623,135,1265,1645,219,448,1513,1263,2511
"G00493",728,1411,528,346,1338,1563,404,648,1144,1117,1203
"G00494",59,145,441,91,343,403,116,102,299,160,170
"G00495",0,0,0,0,0,0,0,0,0,0,0
"G00496",439,412,346,74,544,552,227,311,350,332,516
"G00497",882,1856,475,44,646,1156,135,629,1029,986,1458
"G00498",1624,1996,878,285,1146,1458,308,950,1678,1382,2338
"G00499",1206,2091,831,388,1070,1411,209,877,1626,1220,1602
"G00500",313,27,328,34,126,987,139,54,658,280,15
"G00501",45,73,484,176,424,312,68,109,205,77,115
"G00502",0,0,0,0,0,0,0,0,0,0,0
"G00503",0,0,0,0,0,0,0,0,0,0,0
"G00504",0,0,0,0,0,0,0,0,0,0,0
"G00505",824,854,1133,649,1373,1346,576,565,968,1114,1538
"G00506",0,0,0,0,0,0,0,0,0,0,0
"G00507",0,0,0,0,0,0,0,0,0,0,0
"G00508",0,21,256,0,0,34,28,48,33,18,18
"G00509",0,2,7,0,0,2,0,0,2,1,3
"G00510",0,0,0,0,0,4,0,0,0,0,1
"G00511",1,0,0,0,0,0,0,0,0,0,0
"G00512",0,0,0,0,0,0,0,0,0,0,0
"G00513",0,0,0,0,0,6,0,0,0,1,0
"G00514",0,0,0,0,1,0,0,0,0,0,0
"G00515",1,3,100,60,19,38,13,9,19,3,7
"G00516",0,0,0,0,0,7,0,3,0,0,3
"G00517",0,0,7,0,6,1,0,0,0,0,0
"G00518",0,0,0,0,0,0,0,0,0,0,0
"G00519",0,3,0,0,0,1,0,0,5,1,4
"G00520",0,0,0,0,0,0,0,0,0,0,0
"G00521",14,0,0,0,0,0,0,0,4,2,10
"G00522",4,0,0,0,5,1,0,0,2,4,15
"G00523",0,0,6,0,6,2,1,0,2,1,2
"G00524",0,0,0,0,0,0,0,0,0,0,0
"G00525",0,0,0,0,0,0,0,0,0,0,0
"G00526",13,2,27,0,26,21,0,28,1,11,2
"G00527",0,0,0,0,0,0,0,0,0,0,0
"G00528",240,395,155,90,424,549,165,81,550,383,635
"G00529",0,0,0,0,0,0,0,0,0,0,0
"G00530",0,0,0,0,0,0,0,0,0,0,0
"G00531",0,0,0,0,0,0,0,0,0,0,0
"G00532",1847,3298,719,64,1165,1283,156,1901,1819,2216,1776
"G00533",507,621,481,295,835,892,209,396,695,614,698
"G00534",0,0,0,0,0,0,0,0,0,0,0
"G00535",1549,1876,1486,317,2887,3858,829,793,1763,1701,2517
"G00536",639,696,1086,325,1237,1535,486,497,972,759,890
"G00537",317,511,200,237,495,603,111,297,462,520,576
"G00538",724,1005,249,112,534,758,19,468,720,985,1170
"G00539",911,1155,1048,399,1322,1210,499,739,967,1156,1364
"G00540",0,1,1,0,0,1,0,0,0,0,0
"G00541",272,612,322,155,599,965,94,268,536,415,753
"G00542",312,95,399,143,36,396,5,279,294,105,285
"G00543",4803,7017,2394,897,5935,7328,1073,2471,6061,5405,9739
"G00544",0,3,4,0,2,3,0,0,1,0,3
"G00545",26,65,0,26,41,58,0,6,18,26,93
"G00546",169,443,61,9,224,256,7,88,273,321,393
"G00547",0,2,0,0,3,1,0,0,2,3,10
