"","AB62","AC43cAns3Q2","AC43c.Ans5Q1","AD24a.Ans1Q1","DA44A1","FA101cAR","FB56.6cQ1","FB72A3","FD39.2cQ1","FD393c","GP91c"
"G15339",423,697,790,634,1887,1829,578,403,759,734,905
"G15340",105,182,126,69,161,422,102,53,211,130,401
"G15341",1566,1133,1474,2188,4818,4750,654,875,2567,635,1301
"G15342",3249,3624,1640,379,3369,3789,588,1322,3137,3924,5482
"G15343",506,629,243,225,357,664,149,257,507,563,804
"G15344",16,11,135,0,113,36,0,27,81,85,1
"G15345",0,0,0,0,9,3,6,0,0,0,9
"G15346",0,0,13,0,9,0,0,0,2,2,2
"G15347",0,0,0,0,0,5,0,0,2,0,2
"G15348",1,0,5,0,9,1,3,2,2,0,4
"G15349",49,115,63,34,138,199,42,20,167,112,144
"G15350",46,115,54,18,115,154,45,58,88,108,212
"G15351",0,0,0,0,0,0,0,0,0,0,0
"G15352",45,200,37,0,101,104,1,32,137,118,296
"G15353",672,1097,507,137,707,952,212,370,851,715,805
"G15354",1378,2009,1293,670,1922,2237,524,833,1782,1460,2142
"G15355",88,237,204,67,321,342,23,50,294,130,321
"G15356",0,0,3,0,1,0,0,0,0,0,0
"G15357",450,842,748,262,1652,1340,561,435,1113,756,938
"G15358",0,0,0,0,0,0,0,0,0,0,0
"G15359",0,0,0,0,0,0,0,0,0,0,0
"G15360",0,0,0,0,0,0,0,0,0,0,0
"G15361",2,3,6,0,1,9,0,13,8,1,7
"G15362",2,1,5,18,69,53,453,1,36,9,34
"G15363",336,474,265,164,375,393,44,163,418,350,569
"G15364",4,4,116,35,35,44,88,22,99,70,28
"G15365",2,26,50,0,79,148,66,4,21,35,104
"G15366",1058,1394,1106,577,1126,1291,465,890,1139,1101,1243
"G15367",347,611,240,81,808,1063,181,138,619,549,901
"G15368",53,128,37,11,84,154,31,45,104,104,191
"G15369",3,1,0,0,43,70,55,24,0,8,9
"G15370",905,1592,1102,200,1632,1648,517,600,1256,974,1219
"G15371",0,2,8,0,2,0,0,0,3,1,6
"G15372",0,0,0,0,0,0,0,0,0,0,0
"G15373",14,8,7,0,22,21,20,4,5,18,7
"G15374",1,2,0,4,0,0,0,14,1,0,0
"G15375",0,0,0,0,0,2,0,0,0,0,0
"G15376",0,0,0,0,0,0,0,0,0,0,0
"G15377",347,173,107,300,111,208,56,56,758,47,723
"G15378",0,4,4,0,8,21,96,0,2,1,60
"G15379",141,153,249,0,159,120,503,45,178,94,101
"G15380",381,884,195,1,331,582,71,298,721,535,931
"G15381",473,804,340,21,474,728,65,300,692,669,932
"G15382",1249,1739,2416,302,1929,2659,730,766,2406,1816,2817
"G15383",1020,1785,714,182,1053,1592,234,548,1527,1378,1749
"G15384",44,43,89,1,277,169,1481,32,76,36,139
"G15385",0,11,6,0,9,10,0,0,11,7,1
"G15386",0,0,0,0,9,0,23,0,5,0,4
"G15387",59,19,23,18,35,156,42,45,482,1233,573
"G15388",117,87,60,25,120,188,14,16,59,89,192
"G15389",0,0,0,0,0,0,0,0,0,0,0
"G15390",159,413,123,46,278,417,56,61,346,223,371
"G15391",309,570,514,300,1121,1329,275,430,720,420,659
"G15392",0,0,18,5,10,6,3,0,4,7,3
"G15393",606,1643,254,23,699,784,47,470,1124,950,1446
"G15394",0,0,0,0,0,0,0,0,0,0,0
"G15395",0,0,0,0,0,1,0,0,0,0,0
"G15396",0,0,0,0,0,0,0,0,0,0,0
"G15397",15,7,16,42,76,66,0,20,8,20,46
"G15398",438,507,459,41,522,693,134,469,349,539,4042
"G15399",139,608,196,32,376,716,10,77,393,407,1469
"G15400",1371,1761,730,374,1282,1633,521,1098,1436,1320,1840
"G15401",0,0,0,0,0,1,0,1,0,0,0
"G15402",0,0,14,0,0,3,0,4,0,0,0
"G15403",1584,2655,1181,530,1440,1972,364,1164,2346,2487,2024
"G15404",0,0,0,0,0,0,0,0,0,0,0
"G15405",22,22,40,0,16,23,16,4,25,10,14
"G15406",1054,1160,1273,680,1715,2072,544,1038,1397,1633,1584
"G15407",86,182,69,70,100,88,3,65,136,144,176
"G15408",97,142,6,0,36,61,5,35,80,71,115
"G15409",107,182,46,1,82,110,37,81,155,130,119
"G15410",0,0,0,0,0,0,0,0,0,0,0
"G15411",338,256,570,467,855,800,274,247,414,374,352
"G15412",590,1070,436,116,704,998,92,425,974,786,1884
"G15413",0,0,0,0,0,0,0,0,0,0,0
"G15414",0,0,0,0,9,4,0,0,0,0,0
"G15415",26,29,25,0,25,22,0,19,52,44,75
"G15416",184,53,572,7,322,159,431,30,30,349,39
"G15417",471,508,391,661,462,598,218,423,483,378,583
"G15418",1426,1921,1135,371,1779,2313,473,934,1800,1852,2712
"G15419",1279,1900,773,386,1112,1429,329,810,1754,1638,2226
"G15420",2,0,74,22,266,120,8,1,11,3,8
"G15421",0,0,19,1,3,7,0,1,2,9,0
"G15422",1789,1021,2311,832,7497,5499,4330,959,1861,1823,3077
"G15423",99,132,47,34,123,133,0,42,136,169,235
"G15424",641,916,517,244,805,714,282,472,846,820,689
"G15425",0,0,0,0,0,0,0,0,0,0,0
"G15426",143,27,2075,548,741,288,383,465,437,232,22
"G15427",278,340,4974,567,533,1078,350,204,1045,327,257
"G15428",10,0,0,0,0,0,0,0,0,8,0
"G15429",1424,2475,1953,298,2779,2931,784,1008,2246,1919,1777
"G15430",0,1,13,109,10,8,19,12,16,8,17
"G15431",159,236,113,13,164,246,75,50,191,183,201
"G15432",60,146,70,0,93,103,2,40,122,73,53
"G15433",45807,36529,72903,36090,74273,83467,65063,33894,73751,44651,68929
"G15434",0,0,0,0,0,0,0,0,0,0,0
"G15435",0,0,0,0,0,0,0,0,0,0,0
"G15436",0,0,0,0,0,0,0,0,0,0,0
"G15437",0,0,0,0,0,0,0,0,0,0,0
"G15438",0,0,0,0,0,0,0,0,0,0,0
"G15439",0,0,0,0,0,0,0,0,0,0,0
"G15440",0,0,0,0,0,0,0,0,0,0,0
"G15441",0,0,1,0,0,2,0,0,0,4,2
"G15442",0,5,44,0,14,5,2,4,33,3,63
"G15443",911,1484,469,172,776,1081,390,556,818,935,1197
"G15444",291,377,630,145,935,815,243,362,427,452,664
"G15445",0,0,33,0,7,19,18,11,9,12,4
"G15446",0,8,1,0,8,8,4,2,5,8,22
"G15447",0,0,0,0,1,1,0,39,3,0,0
"G15448",0,0,0,0,1,0,0,38,3,0,0
"G15449",0,3,0,0,4,0,0,38,5,0,0
"G15450",1257,2249,557,161,1409,1576,292,699,1576,1459,2257
"G15451",0,0,0,0,0,0,0,0,0,0,0
"G15452",0,0,0,0,0,0,0,0,0,0,0
"G15453",0,0,0,0,0,11,0,0,1,0,2
"G15454",0,0,0,0,0,0,0,0,0,0,2
"G15455",0,0,0,0,2,7,0,0,0,0,3
"G15456",16,9,140,26,309,274,11,12,59,56,188
"G15457",71,172,88,8,68,104,5,40,212,242,401
"G15458",907,876,632,532,822,846,394,622,937,774,980
"G15459",2535,3542,1740,285,2600,3186,904,2172,3097,2896,3849
"G15460",1,33,74,0,131,268,0,8,163,81,72
"G15461",13,136,166,75,65,171,55,44,440,123,96
"G15462",0,0,0,46,1,4,0,0,0,0,0
"G15463",12167,28754,146787,41178,208055,15576,26493,11001,161905,136540,127417
"G15464",0,0,0,0,0,0,0,0,0,0,0
"G15465",0,0,5,9,3,1,0,0,4,6,2
"G15466",4381,3612,4534,1361,4130,5101,1877,2689,3990,4491,3693
"G15467",498,748,308,31,527,968,37,172,697,603,1335
"G15468",0,0,0,0,0,0,0,0,0,0,0
"G15469",0,1,5,0,0,3,0,0,2,0,0
"G15470",481,791,184,142,390,456,64,253,500,501,847
"G15471",0,0,0,0,0,0,0,0,0,0,0
"G15472",0,0,2,0,0,0,0,0,2,1,0
"G15473",0,0,0,0,4,1,0,1,0,2,0
"G15474",4,5,0,0,1,1,0,0,1,0,0
"G15475",407,283,336,71,359,711,139,670,415,439,891
"G15476",190,27,65,42,40,128,1,42,31,43,113
"G15477",0,0,0,0,0,0,0,0,1,0,0
"G15478",118,437,62,37,219,276,4,60,359,197,408
"G15479",1043,1878,480,141,945,1293,265,414,1228,1171,1962
"G15480",0,0,0,0,5,0,0,0,1,5,0
"G15481",20,42,0,17,236,54,0,4,19,151,105
"G15482",0,0,0,0,0,0,0,0,0,0,0
"G15483",0,0,1,0,0,0,15,4,0,1,0
"G15484",19,4,65,32,45,66,98,17,54,25,11
"G15485",0,1,0,0,5,7,0,0,5,1,5
"G15486",887,960,408,36,675,895,146,657,768,661,930
"G15487",0,0,2,0,6,12,0,0,7,0,3
"G15488",302,572,209,10,567,884,20,119,668,848,1718
"G15489",600,663,2205,594,2211,2610,706,1167,1002,1321,1220
"G15490",0,0,0,0,85,130,15,4,6,4,21
"G15491",78,52,216,42,263,540,111,78,94,214,104
"G15492",650,1610,484,170,905,1095,220,434,1000,927,1493
"G15493",50,84,155,153,28,36,61,44,87,116,46
"G15494",1315,1694,3337,2232,4100,3721,1274,1196,2261,1887,2511
"G15495",0,0,0,0,0,0,0,0,0,0,0
"G15496",2,0,0,0,0,3,0,0,0,0,0
"G15497",0,0,0,0,0,0,0,0,0,0,0
"G15498",528,708,857,305,1124,1520,311,515,781,703,841
"G15499",0,0,0,0,0,0,0,0,0,0,0
"G15500",0,0,0,0,0,0,0,0,0,0,0
"G15501",66,467,65,7,51,144,7,51,256,137,451
"G15502",0,0,0,0,0,0,0,0,0,0,0
"G15503",37,196,10,0,155,173,6,26,159,137,254
"G15504",1480,2207,636,203,1290,1916,211,1036,1710,2029,2163
"G15505",1256,1451,672,215,1084,1555,420,427,1346,999,1612
"G15506",26,3,1,0,19,16,0,4,17,7,17
"G15507",256,369,40,0,187,167,41,117,308,293,373
"G15508",331,478,237,81,477,523,145,254,469,290,666
"G15509",349,581,184,34,177,326,32,134,464,450,713
"G15510",0,0,0,0,0,3,0,0,0,0,0
"G15511",255,555,75,113,293,434,37,274,427,433,432
"G15512",3,37,46,1,47,42,2,5,27,45,69
"G15513",4,31,2,0,17,54,0,0,19,48,60
"G15514",3,11,11,7,2,33,14,18,7,5,14
"G15515",387,885,290,130,387,637,65,295,701,492,835
"G15516",19,35,263,16,175,185,14,25,116,31,72
"G15518",99,201,151,7,63,101,28,47,88,469,417
"G15519",0,3,29,0,11,13,0,3,5,6,0
"G15520",3055,4559,1889,713,3204,3752,1037,1438,3682,3278,4338
"G15521",23,2,18,1,10,3,10,12,19,13,14
"G15522",877,1652,849,520,1306,1264,437,647,1433,1085,1092
"G15523",0,0,0,0,0,0,0,0,0,0,0
"G15524",94,108,112,56,201,265,29,46,112,129,155
"G15525",110,223,84,110,193,320,15,45,207,170,357
"G15526",0,0,0,0,0,0,0,0,0,0,0
"G15527",812,952,605,104,763,1228,308,559,1271,882,1477
"G15528",87,207,30,20,98,142,4,66,201,150,368
"G15529",0,12,1,0,20,8,1,11,12,4,14
"G15530",360,745,137,0,267,349,3,237,631,486,879
"G15531",0,0,0,0,0,0,0,0,0,0,0
"G15532",1026,870,1120,512,1272,1273,776,829,961,990,1204
"G15533",0,0,0,0,0,0,0,0,0,0,0
"G15534",78,266,111,56,665,729,104,33,300,214,583
"G15535",66,29,40,50,133,102,27,39,16,51,38
"G15536",0,0,0,0,0,0,0,0,0,0,0
"G15537",124,231,185,64,382,415,67,73,142,200,284
"G15538",1632,3173,1169,366,2231,2604,856,1087,2883,2644,3449
"G15539",0,0,0,0,0,0,0,0,0,0,0
"G15540",236,547,173,21,109,303,59,152,353,238,699
"G15541",97,264,62,0,252,332,13,44,333,271,540
"G15542",0,2,0,0,0,0,0,0,0,4,0
"G15543",921,1295,319,99,735,987,185,418,1213,1008,950
"G15544",5491,7342,9583,2882,9614,14207,3799,6434,8773,7202,8336
"G15545",681,1267,1031,414,1815,2047,345,725,1231,1093,1396
"G15546",4,6,25,0,14,2,7,0,5,3,3
"G15547",1564,1591,2219,1362,2367,2345,1776,1586,1784,1579,1868
"G15548",0,0,0,0,0,0,0,0,0,0,0
"G15549",0,0,0,0,0,0,0,0,0,0,0
"G15550",1034,1556,467,167,952,1228,205,601,1147,1103,1832
"G15551",1,0,0,0,0,1,0,0,0,0,1
"G15552",4231,4608,17514,10443,16060,49992,10606,4882,20340,5000,6124
"G15553",0,0,0,0,0,1,0,0,0,0,0
"G15554",209,501,120,62,425,442,147,154,282,287,531
"G15555",0,0,0,24,2,4,0,0,2,0,0
"G15556",705,1722,1166,296,2108,2572,551,710,1626,1287,1505
"G15557",140,322,21,0,155,248,4,65,243,237,414
"G15558",338,434,132,72,418,484,133,330,330,377,424
"G15559",0,0,0,0,0,0,0,0,0,0,0
"G15560",0,0,0,0,0,0,0,0,0,0,0
"G15561",679,764,401,56,709,829,33,317,898,1089,788
"G15562",39,22,556,28,151,207,50,21,38,46,35
"G15563",4,6,53,46,123,90,0,14,27,15,69
"G15564",0,0,0,0,0,0,0,0,0,0,0
"G15565",0,0,0,0,0,0,0,0,1,0,0
"G15566",787,923,576,185,836,1145,154,693,941,954,1007
"G15567",4822,6277,6814,1758,8681,10368,2858,3055,6202,5690,7604
"G15568",1384,1286,831,224,1221,1484,195,801,1242,1164,1548
"G15569",0,0,0,0,0,0,0,0,0,0,0
"G15570",36,27,94,61,86,54,31,42,39,22,32
"G15571",710,786,734,747,960,1062,683,731,723,865,753
"G15572",394,518,398,190,1073,913,157,255,559,440,798
"G15573",472,612,483,103,697,832,122,263,598,561,765
"G15574",1315,2063,1887,358,4102,5553,3721,338,2157,1876,3791
"G15575",703,992,926,504,2583,2478,837,403,1108,763,1217
"G15576",0,0,0,0,0,0,0,0,0,0,0
"G15577",65,176,34,20,67,204,6,26,131,106,228
"G15578",80,188,63,17,113,124,26,17,137,103,133
"G15579",0,0,0,1,0,0,0,1,0,0,0
"G15580",0,0,6,0,2,0,0,0,0,0,0
"G15581",22,106,182,40,170,110,20,1,146,45,78
"G15582",2,11,13,0,34,67,10,3,22,20,13
"G15583",413,533,356,55,176,334,148,221,634,223,589
"G15584",0,0,6,0,32,42,8,0,12,7,13
"G15585",0,0,0,0,0,0,1,0,0,1,0
"G15586",0,0,0,15,6,4,3,0,1,10,0
"G15587",0,0,0,0,0,1,0,0,0,1,0
"G15588",202,364,1917,1272,2398,1788,947,1550,1066,1180,827
"G15589",0,0,0,0,0,0,0,0,0,0,0
"G15590",770,1024,724,248,1525,2239,594,395,971,826,1635
"G15591",663,1305,665,534,1806,1935,271,576,1126,1082,1265
"G15592",488,1043,222,102,630,901,66,274,929,866,1183
"G15593",124,226,39,0,87,246,0,46,157,161,208
"G15594",231,321,162,32,200,277,44,194,263,251,428
"G15595",7,0,17,0,11,7,0,0,6,3,6
"G15596",1359,1681,791,250,1493,2167,349,670,1679,1877,2500
"G15597",0,0,2,0,7,7,0,5,1,4,1
"G15598",631,1148,549,322,809,990,174,354,1008,645,1042
"G15599",0,0,0,0,0,0,0,0,0,0,0
"G15600",892,1029,1635,848,1688,1523,1079,677,1176,944,1370
"G15601",10,156,105,43,2865,587,57,8,86,180,3942
"G15602",934,1113,350,128,612,830,307,135,763,750,882
"G15603",897,1177,1017,585,1519,1684,528,803,1229,924,1610
"G15604",235,264,100,0,444,325,47,81,202,242,347
"G15605",0,2,0,0,0,0,0,0,0,0,0
"G15606",40,139,4,0,64,93,0,12,136,80,297
"G15607",31,25,0,0,0,7,0,7,28,17,62
"G15608",483,628,146,28,1059,633,324,205,396,442,1072
"G15609",811,908,395,26,697,1054,104,268,861,739,1074
"G15610",1686,2992,1253,645,4504,4254,860,1103,2892,1771,3368
"G15611",547,994,205,5,309,358,36,300,1339,431,458
"G15612",0,0,0,0,0,0,0,0,0,0,0
"G15613",2,7,0,0,0,0,1,1,0,0,0
"G15614",10,1,7,11,7,0,2,5,0,0,0
"G15615",0,0,0,0,0,0,0,0,0,0,0
"G15616",9,61,18,14,27,17,14,4,34,11,18
"G15617",547,738,595,261,974,1053,367,327,646,543,602
"G15618",586,942,607,131,890,936,177,433,866,796,1139
"G15619",697,1206,548,248,1158,1382,177,615,1232,1109,1180
"G15620",0,0,0,0,0,0,0,0,0,0,0
"G15621",1196,1065,821,394,1374,1041,340,1257,930,1177,962
"G15622",168,390,179,20,401,387,47,52,345,290,439
"G15623",19,25,94,0,89,69,15,5,53,32,36
"G15624",349,536,214,38,373,481,88,178,515,421,686
"G15625",0,1,0,0,0,0,0,0,2,0,2
"G15626",550,1206,408,401,837,1126,819,509,994,763,1115
"G15627",17,28,184,260,93,200,23,22,79,22,29
"G15628",168,382,45,0,154,189,5,143,212,251,336
"G15629",18555,11839,23551,41084,21869,20273,28297,22172,15918,13817,16601
"G15630",2630,5678,4124,5975,2991,4262,4287,8602,4304,2932,1539
"G15631",0,0,0,0,1,1,0,0,1,0,1
"G15632",219,437,124,110,121,178,25,96,228,227,238
"G15633",77,175,116,77,211,266,11,37,146,139,159
"G15634",45,104,39,77,223,351,33,14,157,105,220
"G15635",0,0,0,0,0,0,0,0,0,0,0
"G15636",45,103,32,26,41,48,0,66,167,328,104
"G15637",796,1018,906,1186,1335,1382,885,955,1082,750,822
"G15638",2353,2086,8562,5323,6738,6280,2398,1644,2457,5916,4072
"G15639",0,0,0,0,0,12,0,0,0,2,0
"G15640",834,1361,1234,672,1307,1454,752,898,1350,1031,1896
"G15641",0,0,0,0,0,0,0,0,0,0,0
"G15642",12,31,9,0,35,42,0,2,42,31,52
"G15643",131,298,48,8,182,308,16,93,204,178,339
"G15644",232,309,186,37,244,262,41,66,278,183,321
"G15645",1714,2537,464,151,968,1486,87,506,1907,1704,2543
"G15646",37,58,13,0,64,36,3,21,39,56,102
"G15647",0,0,3,1,4,2,0,2,0,0,1
"G15648",0,0,0,0,0,0,0,0,0,0,0
"G15649",4,1,3,0,2,4,0,3,0,1,0
"G15650",576,1287,1168,364,1786,1603,690,500,1327,884,1097
"G15651",392,728,392,313,1342,1788,261,183,819,681,1402
"G15652",0,0,0,0,0,0,0,0,0,0,0
"G15653",876,1166,506,190,1021,882,313,833,1158,911,1228
"G15654",55,59,264,186,8219,761,100,466,501,164,196
"G15655",0,0,0,0,1,0,0,0,1,0,0
"G15656",0,6,4,0,0,6,0,8,1,1,2
"G15657",134,118,142,103,440,263,17,132,130,120,148
"G15658",574,1883,282,53,776,894,55,392,1508,1158,2321
"G15659",749,1208,111,5,307,240,48,401,725,610,785
"G15660",0,0,10,67,0,0,19,2,2,3,1
"G15661",0,1,1,1,1,2,0,0,0,2,0
"G15662",352,477,300,164,454,665,100,215,411,413,479
"G15663",337,571,445,200,878,1050,212,280,520,505,954
"G15664",45,66,10,0,94,167,28,10,68,33,162
"G15665",737,423,2638,1781,853,2917,1480,761,1421,670,314
"G15666",1972,3249,497,18,998,1538,29,784,2859,1955,2736
"G15667",42,128,249,0,331,77,16,9,89,75,129
"G15668",19,213,369,0,730,51,0,8,54,149,169
"G15669",29,2321,3755,1931,38388,675,451,12,1387,9166,23869
"G15670",48,118,25,15,1533,31,0,12,30,152,103
"G15671",0,10,8,24,10,38,0,5,5,5,3
"G15672",72,85,13,0,91,141,0,37,73,77,53
"G15673",173,190,343,99,729,780,173,241,374,269,293
"G15674",12,4,56,31,6,15,9,10,25,6,14
"G15675",28,75,354,16,42,3,0,2,75,18,52
"G15676",475,579,172,12,227,362,27,181,405,446,692
"G15677",226,140,952,398,1737,1551,314,395,990,759,434
"G15678",0,0,941,28,9,2,13,5,4,0,5
"G15679",56,127,914,211,402,423,433,316,555,353,400
"G15680",11,0,2,0,1,175,78,1,27,8,7
"G15681",0,0,0,0,0,4,0,0,0,0,0
"G15682",0,3,1,0,0,1,0,0,0,0,0
"G15683",525,1432,643,237,1819,4031,87,107,1827,1156,3564
"G15684",8087,8007,11849,4339,8663,17205,3377,4001,8719,4597,10672
"G15685",0,1,0,0,1,2,0,0,0,0,0
"G15686",22,42,251,19,34,195,65,3,52,42,53
"G15687",266,281,523,281,1073,1407,282,206,547,373,462
"G15688",14,12,3,8,58,149,4,3,36,17,40
"G15689",13,79,49,73,116,201,0,25,78,84,75
"G15690",0,0,0,0,0,0,0,1,0,0,0
"G15691",158,66,722,308,468,609,229,152,318,130,56
"G15692",0,15,123,187,5,1,41,160,68,69,14
"G15693",8,8,23,5,37,39,4,31,17,28,17
"G15694",214,537,114,24,320,526,54,145,398,366,563
"G15695",383,715,247,39,392,605,65,334,511,535,375
"G15696",0,0,0,0,0,2,0,0,0,0,1
"G15697",1209,1407,1818,772,2284,2291,902,912,1459,1256,1486
"G15698",0,0,0,0,0,0,0,0,0,0,0
"G15699",77,90,77,61,225,287,57,28,73,85,94
"G15700",587,840,337,84,533,711,65,389,745,757,1014
"G15701",0,0,0,0,0,0,0,0,0,0,0
"G15702",0,0,9,2,2,6,0,0,2,1,2
"G15703",13,12,41,23,50,78,0,17,21,2,16
"G15704",0,0,0,0,14,2,0,0,0,0,0
"G15705",828,1291,573,156,1072,1746,368,536,1039,836,1233
"G15706",1452,2031,1674,674,3071,3583,582,1012,1868,1461,2489
"G15707",83,183,24,0,113,220,23,33,157,126,300
"G15708",495,799,245,9,528,746,15,229,690,623,763
"G15709",0,5,4,53,13,4,16,1,1,6,7
"G15710",78,192,31,0,63,67,49,65,122,35,174
"G15711",623,2110,683,70,1856,1796,225,220,2071,1406,3005
"G15712",0,0,0,0,0,0,0,0,0,0,0
"G15713",145,323,112,45,271,280,3,35,299,211,467
"G15714",0,0,0,0,0,0,0,0,0,0,0
"G15715",12,39,114,81,104,179,29,70,78,83,62
"G15716",117,265,70,0,187,181,16,130,265,229,317
"G15717",3,5,14,0,24,13,0,0,9,1,4
"G15718",10,0,0,11,2,3,0,2,1,1,3
"G15719",0,0,0,0,0,0,0,0,0,0,0
"G15720",106,451,80,7,120,389,8,68,414,241,740
"G15721",90,123,26,0,78,139,0,47,89,89,237
"G15722",142,530,2761,543,11082,5945,1461,920,1586,310,532
"G15723",0,0,0,0,0,0,2,0,0,0,0
"G15724",28,36,11,0,31,50,0,6,58,19,67
"G15725",0,1,0,0,0,0,0,0,0,0,0
"G15726",0,0,0,0,0,0,0,0,0,103,0
"G15727",0,0,0,0,0,0,0,0,0,0,0
"G15728",1153,2457,1127,258,1586,2303,473,703,1886,1677,1665
"G15730",519,471,1318,1060,1880,978,1387,1080,1047,697,442
"G15731",283,261,384,41,709,936,77,239,398,601,419
"G15732",67,127,48,19,193,307,32,21,107,130,250
"G15733",16,64,61,28,95,266,13,14,155,88,94
"G15734",3,2,6,0,0,4,0,3,1,2,2
"G15735",0,0,0,0,1,0,0,0,0,0,0
"G15736",640,925,971,245,1176,1611,287,413,1030,870,1135
"G15737",29,20,171,158,99,100,50,58,34,35,23
"G15738",104,343,227,113,532,506,40,55,267,214,443
"G15739",12,32,0,0,45,66,0,0,29,31,94
"G15740",0,0,0,0,0,1,0,0,0,0,0
"G15741",0,0,0,0,0,0,0,0,0,0,0
"G15742",356,883,409,223,945,1247,388,419,769,598,836
"G15743",0,0,0,0,0,0,0,0,0,0,0
"G15744",0,0,0,0,0,0,0,0,0,0,0
"G15745",551,683,1305,228,1693,1652,489,297,945,816,1302
"G15746",132,222,278,132,404,274,160,124,203,463,528
"G15747",481,943,98,19,373,533,39,154,531,522,1015
"G15748",13,88,9,31,6,25,0,16,45,23,48
"G15749",1,0,1,0,0,1,0,0,1,0,1
"G15750",7,38,11,7,9,18,0,12,29,10,48
"G15751",0,0,0,0,11,3,0,1,0,0,0
"G15752",0,2,0,0,0,0,0,0,0,0,0
"G15753",0,0,0,0,5,0,0,0,9,1,4
"G15754",273,601,374,32,1004,1330,317,164,303,446,811
"G15755",863,1290,343,94,715,1025,64,386,828,831,1165
"G15756",0,0,0,0,0,0,0,0,0,0,0
"G15757",4,25,0,0,22,16,0,6,27,9,27
"G15758",803,1581,711,203,825,1233,163,552,1371,1072,1584
"G15759",745,919,600,172,945,974,166,320,614,867,903
"G15760",6,8,16,0,85,72,22,0,15,26,9
"G15761",0,2,0,0,0,0,0,0,3,0,0
"G15762",111,80,58,40,60,110,18,28,28,100,50
"G15763",0,1,15,0,28,86,0,1,11,3,2
"G15764",303,755,260,60,567,789,86,163,678,481,992
"G15765",0,27,4,0,10,10,0,7,11,7,16
"G15766",94,1346,377,50,147,436,43,207,603,350,736
"G15767",0,0,1,0,0,0,0,2,0,0,1
"G15768",4,7,5,9,0,0,2,1,2,13,0
"G15769",0,0,0,0,0,0,0,0,0,0,0
"G15770",965,1114,586,287,1468,1522,282,513,897,829,1291
"G15771",675,686,313,145,588,816,381,535,707,453,960
"G15772",1921,2254,614,23,807,1196,119,685,1723,1916,2278
"G15773",0,4,40,14,27,13,38,40,13,16,9
"G15774",1643,1310,3797,1561,4196,4099,2022,1963,2424,2335,2701
"G15775",0,0,0,0,0,0,0,0,0,0,0
"G15776",951,1277,557,109,983,1612,296,427,1451,1022,2117
"G15777",214,310,339,160,426,394,168,169,255,252,296
"G15778",1682,1452,1143,263,1358,1269,605,997,1284,1339,1471
"G15779",1143,1490,889,305,1268,1815,314,594,1426,1440,1940
"G15780",0,0,0,0,0,0,0,0,0,0,0
"G15781",0,2,1,0,0,1,0,0,0,0,0
"G15782",408,669,375,67,801,1104,152,163,846,591,975
"G15783",1392,1908,747,285,1240,1419,243,1062,1930,1667,1926
"G15784",1566,2981,1463,359,2525,2996,386,1116,3273,2828,3004
"G15785",0,0,0,0,0,0,0,0,0,0,0
"G15786",2462,3797,1612,930,2047,2619,1164,2762,2949,2389,3079
"G15787",0,0,0,0,3,0,0,0,0,0,0
"G15788",662,881,640,75,925,1113,135,212,1113,723,933
"G15789",0,1,0,0,0,0,0,0,0,0,0
"G15790",0,0,0,0,2,0,0,0,0,4,0
"G15791",22,41,103,0,56,89,10,7,84,60,52
"G15792",0,0,0,0,4,0,0,5,2,0,0
"G15793",0,0,1,0,0,0,0,0,0,0,0
"G15794",21,44,85,577,203,195,256,129,330,100,65
"G15795",26,10,14,0,8,19,0,5,9,3,11
"G15796",58,32,230,70,384,187,87,119,116,216,19
"G15797",0,2,23,5,63,89,12,0,27,42,7
"G15798",229,282,296,114,521,645,149,241,305,290,386
"G15799",429,282,216,117,312,527,64,261,245,308,434
"G15800",0,0,0,0,0,0,0,0,0,0,0
"G15801",0,0,0,0,0,0,0,0,0,0,0
"G15802",34,2,163,13,23,12,24,49,32,93,12
"G15803",1,5,17,13,56,68,10,1,35,2,45
"G15804",0,0,0,0,0,0,0,0,0,2,0
"G15805",2276,3014,2462,849,3403,3324,1278,2127,2870,2979,3141
"G15806",0,0,0,0,0,1,0,0,0,0,0
"G15807",0,0,0,0,0,0,0,0,6,0,0
"G15808",120,192,164,44,669,654,123,29,154,213,327
"G15809",0,0,0,0,3,2,0,0,0,4,0
"G15810",0,3,0,0,0,1,0,0,0,0,1
"G15811",0,0,0,2,6,13,2,0,0,0,0
"G15812",1,0,5,1,10,7,0,2,5,3,3
"G15813",0,0,0,0,0,0,0,0,0,0,0
"G15814",0,7,21,40,22,34,0,7,10,8,6
"G15815",11,27,54,85,100,60,24,5,25,15,42
"G15816",0,0,0,0,0,0,0,0,0,0,0
"G15817",7,3,10,4,5,8,1,6,17,3,3
"G15818",0,1,10,0,16,23,0,0,6,2,0
"G15819",571,854,283,67,528,618,155,342,632,593,706
"G15820",78,167,97,7,225,253,10,41,170,126,320
"G15821",899,2204,943,700,643,1054,663,1407,1387,1062,1029
"G15822",0,0,0,0,0,0,0,0,0,0,0
"G15823",56,57,45,2,25,73,27,37,32,39,67
"G15824",36,107,15,7,71,64,3,47,62,15,55
"G15825",0,0,0,0,10,7,0,0,1,1,2
"G15826",97,162,740,701,2127,1560,263,355,472,589,620
"G15827",0,0,0,0,0,0,0,0,0,0,0
"G15828",186,539,26,0,96,153,3,56,291,196,337
"G15829",0,6,12,0,1,0,0,0,1,4,3
