GeneID,baseMean,Log2FoldChange,lfcSE ,stat ,pvalue ,padj,comparison
Csec_G00069,16.56267436,1.768495864,1.38320458,1.278549746,0.201055656,1,Sham vs Control
Csec_G00071,125.3185505,0.118645322,0.478069693,0.248175786,0.8039984,1,Sham vs Control
Csec_G00072,16.13235017,0.747512656,0.9062127,0.824875502,0.409442276,1,Sham vs Control
Csec_G00080,57.01101566,-0.004789682,0.742429895,-0.00645136,0.994852595,1,Sham vs Control
Csec_G00083,8.769895024,0.046248655,1.121966175,0.041221078,0.96711965,1,Sham vs Control
Csec_G00093,18.79526116,-0.134303469,0.946884639,-0.141837203,0.887208597,1,Sham vs Control
Csec_G00116,3922.60388,-3.304856557,1.319791062,-2.504075571,0.012277181,0.724291972,Sham vs Control
Csec_G00314,145.1116022,-0.302926735,1.080338949,-0.280399717,0.779170854,1,Sham vs Control
Csec_G00316,8.537233173,0.445336037,1.330305828,0.334762149,0.737804516,1,Sham vs Control
Csec_G00317,524.1107029,-0.089832123,0.230127673,-0.39035776,0.696272018,1,Sham vs Control
Csec_G00319,23.29931226,-0.730420211,0.684302075,-1.067394412,0.285793771,1,Sham vs Control
Csec_G00320,2168.945631,0.143112061,0.232571421,0.615346719,0.53832577,1,Sham vs Control
Csec_G00322,43.59526941,-0.018913954,0.779160658,-0.02427478,0.98063343,1,Sham vs Control
Csec_G00326,13.23236764,0.041092423,0.98401247,0.041760063,0.966689972,1,Sham vs Control
Csec_G00327,19.21356415,-0.737509976,1.086036274,-0.67908411,0.49708457,1,Sham vs Control
Csec_G00328,330.9799156,-0.289975076,0.725452016,-0.39971641,0.689365404,1,Sham vs Control
Csec_G00329,1228.234519,-0.448342646,0.670718381,-0.668451407,0.50384549,1,Sham vs Control
Csec_G00330,8.609170093,0.217534545,1.422718549,0.152900618,0.878476648,1,Sham vs Control
Csec_G00331,6532.868365,0.171103223,0.346040853,0.494459603,0.62098163,1,Sham vs Control
Csec_G00332,59.62315699,-0.026835111,0.619028033,-0.043350398,0.965422217,1,Sham vs Control
Csec_G00333,71.14742434,-0.482105739,0.767476824,-0.628169769,0.529892732,1,Sham vs Control
Csec_G00334,250.2477206,0.195950268,0.469130596,0.417688101,0.676175173,1,Sham vs Control
Csec_G00335,774.6748443,0.140271563,0.25175577,0.55717318,0.577409112,1,Sham vs Control
Csec_G00336,110.1676273,1.228270193,0.861003748,1.426556152,0.153707871,1,Sham vs Control
Csec_G00337,179.8066154,-0.207564307,0.601261732,-0.345214564,0.72993307,1,Sham vs Control
Csec_G00338,74.46875044,2.521875297,1.556030529,1.62071068,0.105079702,1,Sham vs Control
Csec_G00340,213.4638479,1.651900974,0.61986211,2.664949102,0.007699998,0.617059905,Sham vs Control
Csec_G00341,2796.035568,1.293927691,0.714407442,1.811190108,0.070111429,1,Sham vs Control
Csec_G00342,245.8841063,0.153117691,0.907272737,0.168766992,0.865979922,1,Sham vs Control
Csec_G00343,1108.217972,-0.255544047,0.24905811,-1.026041861,0.304871853,1,Sham vs Control
Csec_G00344,514.9454858,-0.391129788,0.456273254,-0.857227077,0.391319401,1,Sham vs Control
Csec_G00345,569.2011159,-0.283178567,1.048568624,-0.270062026,0.787112536,1,Sham vs Control
Csec_G00346,446.4811024,1.053093774,0.589301757,1.787019572,0.073934325,1,Sham vs Control
Csec_G00347,1161.456557,0.149791648,0.148517863,1.008576649,0.313177711,1,Sham vs Control
Csec_G00350,76.57307181,-0.441845033,0.787989883,-0.560724246,0.574985536,1,Sham vs Control
Csec_G00351,307.7982931,0.412368543,0.584884738,0.705042406,0.480783847,1,Sham vs Control
Csec_G00354,283.4034708,-0.133711982,0.307865685,-0.434319214,0.664056653,1,Sham vs Control
Csec_G00356,8.894307145,0.753832563,1.116476314,0.675189034,0.499555673,1,Sham vs Control
Csec_G00357,42.32446342,-0.515621638,0.871953715,-0.591340605,0.554292228,1,Sham vs Control
Csec_G00359,155.7645567,0.17065445,0.521456094,0.327265232,0.743467286,1,Sham vs Control
Csec_G00360,80.03019169,-0.127756562,0.953362448,-0.134006287,0.893397603,1,Sham vs Control
Csec_G00361,88.00402738,-0.498197148,1.132357805,-0.439964422,0.659962875,1,Sham vs Control
Csec_G00362,1050.825644,-0.146275908,0.255043635,-0.57353287,0.56628395,1,Sham vs Control
Csec_G00363,98.7416007,0.529733038,0.817403666,0.648067852,0.516941066,1,Sham vs Control
Csec_G00364,485.8159013,-0.068586902,0.292688757,-0.234333913,0.81472576,1,Sham vs Control
Csec_G00366,926.1468138,-0.293991374,0.426489144,-0.689329091,0.490616195,1,Sham vs Control
Csec_G00367,655.2872795,-0.448344591,0.38683877,-1.158996008,0.246457812,1,Sham vs Control
Csec_G00368,30.77400018,-0.165669103,0.956005205,-0.173293098,0.862421049,1,Sham vs Control
Csec_G00369,74.56065059,-0.441950684,0.732371646,-0.603451385,0.546208447,1,Sham vs Control
