GeneID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj
G05138,21.57157963,3.503954031,0.69283974,5.057380272,4.25E-07,6.05E-05
G08217,62.91484081,3.502313711,1.006053323,3.481240638,0.000499097,0.009704489
G17909,60.11373581,3.501162393,1.172568364,2.98589191,0.002827526,0.030601795
G09634,31.80053727,3.445742323,0.995211813,3.462320562,0.000535539,0.010222588
G16716,35.72232207,3.439726313,0.803400567,4.28145866,1.86E-05,0.000972798
G09830,206.7563554,3.435017128,1.221088891,2.813077045,0.004906989,0.044525594
G00922,26.45851092,3.434520764,0.695324945,4.939447074,7.83E-07,9.91E-05
G13646,34.66261603,3.412441088,0.841074957,4.057237775,4.97E-05,0.001955343
G16573,30.90003224,3.409119304,1.01087875,3.372431466,0.000745076,0.012624959
G13101,765.8347837,3.406862727,0.719718748,4.733602861,2.21E-06,0.00020459
G13177,14.51679721,3.391622959,0.939493197,3.6100559,0.000306131,0.006969769
G07904,233.7391802,3.381754335,1.039310065,3.25384546,0.001138542,0.01689197
G13202,34.31048484,3.378982619,0.961202675,3.515369555,0.000439142,0.009044312
G02475,129.5125518,3.367887447,1.124057159,2.99618878,0.002733771,0.030002002
G16164,299.3600832,3.366984919,0.686501251,4.904557587,9.36E-07,0.000114955
G03298,32.50466944,3.366284135,1.049906914,3.206269136,0.001344682,0.018729814
G15247,268.5064023,3.362498026,1.032600516,3.256339672,0.001128586,0.016819091
G04560,1791.859703,3.347640528,1.06856441,3.132839254,0.001731242,0.022376432
G18129,40.30697239,3.333387698,0.721705999,4.618761245,3.86E-06,0.000302123
G05315,1033.417215,3.323573241,1.131676929,2.936856939,0.00331557,0.033947318
G15162,55.27567716,3.316802293,0.924504581,3.587653715,0.000333667,0.007434481
G09237,33.19940459,3.316146839,1.080714863,3.068475278,0.002151541,0.025619532
G17117,40.63731312,3.30274532,0.94854674,3.481900447,0.000497869,0.00970089
G03487,17.60747493,3.293892941,1.085183285,3.035333282,0.0024027,0.027376353
G09797,481.5450265,3.287729773,0.922882678,3.562456909,0.0003674,0.007959491
CG14071,1167.784307,3.279120809,0.774941339,4.231443909,2.32E-05,0.001177149
G05156,4720.581849,3.278039841,0.599915062,5.464173265,4.65E-08,1.02E-05
G14092,79.96294607,3.274377518,1.050908604,3.115758596,0.001834724,0.023220477
G04809,578.4031623,3.264525793,0.555485463,5.876887899,4.18E-09,1.45E-06
G05310,721.492001,3.263750437,1.037785022,3.144919581,0.001661325,0.021760576
G01108,59.94467347,3.262203875,1.064967252,3.063196422,0.002189863,0.02584492
G10352,386.4418311,3.255685719,0.999985086,3.255734274,0.001130995,0.016819864
G16971,42.27947122,3.252338124,0.684626553,4.750528753,2.03E-06,0.000193942
G09534,12.8556602,3.236730245,1.05290081,3.074107471,0.002111334,0.025372475
G11725,2413.774903,3.225228135,1.107354674,2.912552059,0.003584884,0.035825956
G16180,516.9202396,3.199181121,0.825807586,3.874003068,0.000107062,0.003385432
G11286,515.5343786,3.193693423,0.74203352,4.303974603,1.68E-05,0.000902049
G03772,75.64253592,3.185411828,0.980347765,3.249267189,0.001157027,0.017005044
G07207,492.6732965,3.177591106,0.674010632,4.714452493,2.42E-06,0.000215238
G16265,370.4298787,3.174944647,0.815180434,3.894775335,9.83E-05,0.003131768
G18470,11.66670135,3.161801223,0.7846686,4.029473363,5.59E-05,0.002127672
G07285,2854.353173,3.151242618,0.749629483,4.203733566,2.63E-05,0.001299457
G08642,358.7488136,3.127451782,0.761132396,4.108945824,3.97E-05,0.001727366
G09040,56.7953421,3.123857608,0.984872217,3.171840523,0.001514762,0.020425258
G00873,787.1420285,3.106765308,0.953134828,3.259523435,0.001115996,0.016695934
G10062,1052.856894,3.093731758,0.881659802,3.508985836,0.000449819,0.009141237
G17930,180.0605697,3.05333002,0.649798815,4.698885179,2.62E-06,0.000223991
G09896,39.52882899,3.022018668,0.623293276,4.848469865,1.24E-06,0.000140356
G05198,2384.73646,3.021734073,0.456473151,6.619741085,3.60E-11,2.65E-08
G09284,7108.31682,3.011106002,0.630735717,4.773958287,1.81E-06,0.000182417
G08737,39.02619004,3.009723033,0.744888348,4.040502231,5.33E-05,0.002067753
G06304,60.58661523,3.009363365,1.052949467,2.858032088,0.004262773,0.040316043
G07608,220.1819861,3.007780742,0.988551401,3.042614414,0.002345326,0.026888266
G05316,64.56110198,2.997683106,1.002877427,2.989082239,0.002798168,0.030415504
G03834,8941.947846,2.99392478,0.64033047,4.67559318,2.93E-06,0.000243064
G00870,518.7710357,2.990098552,0.637076206,4.693470769,2.69E-06,0.000227264
G16672,35.95357467,2.983887442,0.846391185,3.525423581,0.000422806,0.008868306
G02970,3721.582253,2.981086241,0.644834175,4.623027681,3.78E-06,0.000299719
G07911,932.9908085,2.971072,0.933852819,3.18152062,0.001465041,0.019940481
G09044,3271.195552,2.964569877,0.837778284,3.538609121,0.000402241,0.008548436
G09174,834.2624553,2.945885409,0.54654113,5.390052545,7.04E-08,1.36E-05
G08672,2475.611761,2.944636585,0.503112313,5.852841425,4.83E-09,1.64E-06
G09428,20.80275714,2.941960976,1.01569815,2.89649142,0.00377361,0.037148695
G03399,79.88054078,2.939294316,0.782919856,3.754272284,0.000173846,0.004691589
G13276,72.27543366,2.927621152,0.737013961,3.972273671,7.12E-05,0.002519258
G15802,45.22861299,2.920278423,0.876942138,3.330069679,0.000868243,0.014010481
G09420,93.62504036,2.909680194,1.052676203,2.764079006,0.005708372,0.049393176
G08549,91.38831265,2.886473144,0.941901853,3.064515835,0.002180226,0.025828566
G18329,1694.696394,2.884683859,1.008277475,2.861001985,0.004223044,0.040152588
G07243,18.11302074,2.872807409,0.883985795,3.249834358,0.001154722,0.017005044
G02583,86.57765499,2.868852939,0.923648392,3.10600112,0.00189636,0.023768811
G12593,1717.068468,2.853712101,0.886280818,3.219873477,0.001282472,0.018207611
G03984,127.2351469,2.849873792,0.993792149,2.867675896,0.004134989,0.039585879
G05821,332.6503073,2.836551279,0.790179075,3.589757523,0.000330986,0.007401077
G09827,211.388721,2.826350553,0.53348885,5.297862465,1.17E-07,2.10E-05
G07454,103.981857,2.809114335,0.933457311,3.009365617,0.002617939,0.029139402
G00945,7324.636734,2.808265583,0.696374158,4.03269643,5.51E-05,0.002105089
G05962,112.5640758,2.803119911,0.754881444,3.713324701,0.000204554,0.005270427
G10467,76.00526155,2.796189731,0.559839281,4.994629402,5.89E-07,7.94E-05
G14243,889.4225374,2.795001637,0.775378958,3.604691111,0.000312524,0.007085366
G17065,884.1782547,2.7887665,0.721942038,3.862867589,0.000112064,0.003464845
G03564,546.2024451,2.771595724,0.505064462,5.487607882,4.07E-08,9.33E-06
G14192,23.64577186,2.768326802,0.946050329,2.926194004,0.003431369,0.034655434
G13346,840.9454085,2.767149227,0.608216869,4.549609471,5.37E-06,0.000395884
G06909,172.4620182,2.75393909,0.662108187,4.159349097,3.19E-05,0.001485676
G07897,2291.80516,2.752965174,0.654488659,4.206283998,2.60E-05,0.001289984
G05503,1826.723865,2.749141437,0.510081193,5.389615372,7.06E-08,1.36E-05
G12241,1282.050162,2.746500539,0.692419305,3.966527968,7.29E-05,0.002572379
G01618,452.7701533,2.746020922,0.709073378,3.872689354,0.000107641,0.003395165
G10339,1208.913222,2.743271227,0.686592321,3.995487779,6.46E-05,0.002350102
